ProductId,Image,Description,Rating,NumberRated,Price,Url
1,https://m.media-amazon.com/images/I/71sp0Ezym9L._AC_UL320_.jpg,"Moistenland Hydroponics Growing System,Indoor Herb Garden Starter Kit w/LED Grow Light,Plant Germination Kits 12 Plant Pots for Home Kitchen Gardening (12 Pots)",4.3 out of 5 stars.,"1,340",125.59,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_lawngarden_sr_pg1_1?ie=UTF8&adId=A05180112BE23DIHLS4AZ&qualifier=1650964385&id=2867984954111423&widgetName=sp_atf&url=%2FMoistenland-Hydroponics-Growing-Germination-Gardening%2Fdp%2FB07ZCVTTRS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-1-spons%26psc%3D1%26smid%3DA24CEFUPG3GN32
2,https://m.media-amazon.com/images/I/71RV2vBZwHL._AC_UL320_.jpg,"Hydroponics Growing System, Indoor Herb Garden Starter Kit, Smart Garden Planter for Home Kitchen, Automatic Timer Germination Kit (White)",4 out of 5 stars.,52,45.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_lawngarden_sr_pg1_1?ie=UTF8&adId=A00393583PRLILKAY7TFH&qualifier=1650964385&id=2867984954111423&widgetName=sp_atf&url=%2FHydroponics-Growing-Starter-Automatic-Germination%2Fdp%2FB08R7CG65F%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-2-spons%26psc%3D1
3,https://m.media-amazon.com/images/I/71iT-OCtOVL._AC_UL320_.jpg,"iDOO 12Pods Indoor Herb Garden Kit, Hydroponics Growing System with LED Grow Light, Smart Garden Planter for Home Kitchen, Automatic Timer Germination Kit, Height Adjustable, ID-IG301(No Seeds)",4.3 out of 5 stars.,"2,077",89.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_lawngarden_sr_pg1_1?ie=UTF8&adId=A052796913IZIYMJTM9NU&qualifier=1650964385&id=2867984954111423&widgetName=sp_atf&url=%2FiDOO-Hydroponics-Germination-Adjustable-ID-IG301%2Fdp%2FB08DLMRKHM%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-3-spons%26psc%3D1
4,https://m.media-amazon.com/images/I/71-wiRTTJoL._AC_UL320_.jpg,"20Pods Indoor Herb Garden, Grow Light for Indoor Plant with 4 Removable Water Tank, Free Timing Setting, 26.77in Adjustable Height (Black)",4.3 out of 5 stars,315,110.48,https://www.amazon.ca/20Pods-Removable-Setting-26-77in-Adjustable/dp/B08R88NJZZ/ref=sr_1_4?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-4
5,https://m.media-amazon.com/images/I/71iT-OCtOVL._AC_UL320_.jpg,"iDOO 12Pods Indoor Herb Garden Kit, Hydroponics Growing System with LED Grow Light, Smart Garden Planter for Home Kitchen, Automatic Timer Germination Kit, Height Adjustable, ID-IG301(No Seeds)",4.1 out of 5 stars,"2,077",130.98,https://www.amazon.ca/iDOO-Hydroponics-Germination-Adjustable-ID-IG301/dp/B08DLMRKHM/ref=sr_1_5?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-5
6,https://m.media-amazon.com/images/I/71Vs-OxtS+L._AC_UL320_.jpg,"Hydroponics Growing System, Indoor Herb Garden Starter Kit with LED Grow Light, Smart Garden Planter for Home Kitchen, Automatic Timer Germination Kit, Height Adjustable (7 Pods)",4.4 out of 5 stars,"2,950",159.99,https://www.amazon.ca/Hydroponics-Growing-Automatic-Germination-Adjustable/dp/B08418TRV1/ref=sr_1_6?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-6
7,https://m.media-amazon.com/images/I/81pqSnicriS._AC_UL320_.jpg,"Ivation 7-Pod Indoor Herb Garden Kit, Hydroponic Germination System with Adjustable LED Lamp, Bamboo Planter Baskets, Circulation Pump & Nutrient Powders, Starter Kit for Plants, Vegetables & Fruits",4.5 out of 5 stars,170,110.48,https://www.amazon.ca/Ivation-Hydroponic-Germination-Adjustable-Circulation/dp/B08J486GCM/ref=sr_1_7?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-7
8,https://m.media-amazon.com/images/I/7176RDYpCPL._AC_UL320_.jpg,"Hydroponics Growing System, Indoor Herb Garden Kit with LED Grow Light, Smart Indoor Garden Starter Grow System for Home Kitchen, Auto Timer 12H, Height Adjustable",4.4 out of 5 stars,11,130.98,https://www.amazon.ca/Hydroponics-Growing-Starter-Kitchen-Adjustable/dp/B09DFZHFDP/ref=sr_1_8?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-8
9,https://m.media-amazon.com/images/I/71sp0Ezym9L._AC_UL320_.jpg,"Moistenland Hydroponics Growing System,Indoor Herb Garden Starter Kit w/LED Grow Light,Plant Germination Kits 12 Plant Pots for Home Kitchen Gardening (12 Pots)",4.1 out of 5 stars,"1,340",110.99,https://www.amazon.ca/Moistenland-Hydroponics-Growing-Germination-Gardening/dp/B07ZCVTTRS/ref=sr_1_9?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-9
10,https://m.media-amazon.com/images/I/81Qd79rccVL._AC_UL320_.jpg,"GOLUMUP Hydroponics Grow System, Indoor Herb Garden Kit with 4 Grow Lights for Indoor Plants, Grow kit for Home Kitchen, Adjustable Height, Water Indicator, Customized Pump&Lighting, 12 Pods(No Seeds)",3.9 out of 5 stars,107,139.99,https://www.amazon.ca/GOLUMUP-Hydroponics-Adjustable-Indicator-Customized/dp/B09D346NLV/ref=sr_1_10?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-10
