Name,Rating,Date,Title,Review,ProductId,,,,,,
Kathy,1.0 out of 5 stars,"Reviewed in Canada on March 14, 2020",        Not your best option  ,"Much better price point and works just as well as other more expensive products. We have both wish I had of seen this first. The cost of the sponges makes this more economical.After having two since Dec 2019 . I would not recommend this product. One developed a leak. The plugs are expensive. Look at heated pads,  lights and old fashion soil options much less expensive and with the heat we found that we had better plants.",1,,,,,,
Maryse,1.0 out of 5 stars,"Reviewed in Canada on July 21, 2020",        Gets moldy disaster  ,"          First of all, there is no automatic light timer it just stays on or off... and I had to use the second set of “plugs” because everything was getting moldy but second try and same thing... now out of “soil plugs” and not exactly sure what to do... buy better plugs somewhere or throw the whole thing in the trash... :(  ",1,,,,,,
Maryse,1.0 out of 5 stars,"Reviewed in Canada on June 27, 2020","mise à jour, ne marche plus après 13 mois d'utilisation , je ne recommande pas","Bien mais pas parfait, c'est mieux d'acheter les kit de graine déjà prêt, sinon planter les graine moi même mais ne pousse pas très bien.Mise à jour : ne marche plus après 13 mois d'utilisation, j'ai fait pousser seulement 3 fois des graine et les lumières n'allume plus et la fan fesais beaucoup de bruit. Je ne recommande pas ce kit, il est chère et brisé après 13 mois. TRÈS DÉCUS",1,,,,,,
Sylvain Mercier,1.0 out of 5 stars,"Reviewed in Canada on August 16, 2021",        Disappointed  ,"We have tried using this for 4 months. We tried basil, oregano, thyme, chives, lettuce, and spinach. The lettuce did well at the start, but after a few weeks it just died. Nothing else germinated. Round two we got thyme, oregano, and spinach, but the spinach is now dying after a few weeks (didn’t get big enough to harvest) and the other two are starting to look sad as well. Very disappointed in this, as we were very excited to try it.",1,,,,,,
Scott F.,1.0 out of 5 stars,"Reviewed in Canada on March 11, 2021","        Fire Hazard, LED light started to burn AVOID!  ","Zero isn't a rating selection, so I'm settling on 1 star. Had this unit for only 3 months , but I'm passed my refund date by 1 month so I'm stuck with this thing. Today, there was a bad smell coming from the light unit, like a circuit burning, so I touched the light area where the input power plug goes in and it was extremely hot to the touch, and the pump was no longer working either  so I disconnected it immediately, to avoid a bigger problem! Glad I caught it in time before it got worse. I've sunk a lot of money into getting the pods, seeds, food, PH tester, only to have it die in the end. Nice knowing you growing system, you'll fit perfectly in the garbage bin.  ",1,,,,,,
MM,1.0 out of 5 stars,"Reviewed in Canada on August 9, 2021",        Plants do not grow  ,"          We set this up and have been running it for over two months now.  Most of the plants sprout but die as they just come out. One Basil is barely coming out and won't grow over two inches. We tried tomatoes and peppers too but they grow a couple of inches and don't flower.For the amount of time, energy and money on this product, it's better just to put a potted plant on your window sill or outside.  Don't waste your money.  ",1,,,,,,
D. Luttmann,1.0 out of 5 stars,"Reviewed in Canada on June 9, 2021",        Pump not working  ,"Submersible pump #JYC-D108 stopped working after 3 months. Cannot find an exact replacement anywhere online. Similar pumps are available but not with the correct wiring. If I cannot replace this pump, the unit becomes trash.",1,,,,,,
Jean Lanouette,1.0 out of 5 stars,"Reviewed in Canada on March 13, 2021",        Does not work  ,          So disappointed with this product. My seedlings do much better in a pot of dirt on the window sill. Absolutely not worth the money. I will be returning this. I would have minimal growth and then the seedlings would die.  ,1,,,,,,
Jean Lanouette,1.0 out of 5 stars,"Reviewed in Canada on December 30, 2021",        tres mauvais achat  ,          les plantes pourrissent même en ajoutant une circulation d'aire j'utilise un autre produit achete chez canadien tire et qui fonctionne très bien je vous déconseille ce produits qui ne vaut rien juste bon a mettre aux ordures  ,1,,,,,,
Deidre,1.0 out of 5 stars,"Reviewed in Canada on May 16, 2021",        plusieurs inconvéniants  ,"          moteur sans filtre, trop de plants a planifier pour peu d'espace , impossible a programmer  ",1,,,,,,
Amazon Customer,2.0 out of 5 stars,"Reviewed in Canada on November 3, 2021",        works well but big problem with bugs  ,"          My herbs are growing okay but the dirt things that the herbs grow in are consistently infested with larva and then there are little flies everywhere. I have soaked the dirt things in hydrogen peroxide and water to kill them all but then a few days later there are more bugs. Even with the caps on and everything covered, I somehow keep finding flies underneath in the water. It is because they are laying eggs in the dirt part since they stay wet all the time.  ",1,,,,,,
SimonB1964,2.0 out of 5 stars,"Reviewed in Canada on February 14, 2021",        Lid doesn't fit properly  ,"          Lid is warped and will not sit on top of the container properly thereby adding unnecessary light to the water. Instructions are poor as they do not clearly show how to start your seeds, one method is a small container, another says drop them in the pods and go, nothing about whether to turn led light on or whatever...just planted Basil Cilantro and parsley, if it doesn't work, its going back......  ",1,,,,,,
Cory Moreau,2.0 out of 5 stars,"Reviewed in Canada on October 3, 2021",        Cheap product  ,          Works well but the tightening screw for the top portion broken already.  ,1,,,,,,
Bev Russell,2.0 out of 5 stars,"Reviewed in Canada on April 3, 2022",        Mot as expected  ,"          I put it all together only to find when I reached part in instructions where you add water to powder for growing solution, it wasn’t included & not even one seed. For price I was very disappointed.  ",1,,,,,,
Toni L,2.0 out of 5 stars,"Reviewed in the United States on March 30, 2021",        It Just Stopped Working and The Nightmare Began  ,"I bought this before the Christmas holiday. We didn't open the box and set it up until mid January.  It was great.  We bought some seed packs from Aero Garden and some individual seeds to use with the pods that came with the system.  We set it up and we started getting growth in about 7 to 10 days.A little more than one month later in February, it stopped working.  It just died.  We didn't move it.  It just would not turn on.  That's when the customer nightmare began.  Finding out who to contact took some work but I did.  I sent an email on Feb. 27th to them at info@moistenlandrip.com and fuszrj@outlook.com.  I got a response that same day from fuszrj@outlook.com.  Great!  The person asked what happened and for the order number.  I provided that information.  Three days later, I get an email from a different email address (info@moistenlandrip.com) asking for the same information that I had provided.  I sent it again.Four days later, I received a response from fuszrj@outlook.com asking for my shipping address.  I provided that on March 9th, and then did not hear a word for almost 3 weeks. That's when I decided to contact Amazon on March 26th and get them involved. They shipped out a replacement unit and it arrived yesterday.  I sent an email to the company on the same day.  They noted that they would check with Amazon.  Really?!  You didn't think to get back to ME after almost 3 weeks and send me a replacement like you promised?! The customer service is beyond horrible.  Other reviewers noted that but I ignored it.  Go with the Aero Garden if you can.  If this thing breaks again for no reason, I will.",1,,,,,,
mark polimeros,2.0 out of 5 stars,"Reviewed in the United States on April 27, 2022",        What two of them last spring one already died  ,The unit is economical and easy to put together but the problem I had with it is within 2 1/2 months views may be a little less one of the air pumps died already. The pump does not really seem to be super strong or super reliable also don’t like the way it mounts to the bottom of the holding tank kind of rinky-dink.Would not buy again would buy an aero garden and spend more money.,1,,,,,,
Erika M Guzman,2.0 out of 5 stars,"Reviewed in the United States on May 12, 2021",        Disappointed  ,"Disappointed  so far.  Got this because of reviews saying it was comparable to aerogaren. However bo really happy thus far.  Set up was ok, not to complicated. Like the aerogardon pods better these are very spongey and the hole is tiny so when you have a bigger seed found they ripped easily. Out of 12 seed I've planted over a week ago 1 has sprouted. Have 3 with mold (never had that issue with other garden) the ones in the back left bairely seem to be getting water. Overall unhappy with it. Never had any of these issues with the areogarden. Gets the 2 stars for ease and look.",1,,,,,,
Kate,2.0 out of 5 stars,"Reviewed in the United States on February 21, 2021",        Quality  ,"This device is pretty chintzy. Plus when I bought they were $99.00. Less than a week later they went on sale for $75.00. I bought 2 so I'm out $50.00. Gave one as gift so I can't get it back.  The instructions are confusing. I mean it's okay, but frankly not worth the price.",1,,,,,,
THERE IS NO ETHICAL CONSUMPTION UNDER CAPITALISM,2.0 out of 5 stars,"Reviewed in the United States on November 18, 2020",        Cheaply made  ,          I got this in the mail yesterday and put it together. Everything seems really cheaply made. The fan for the damn thing made a screeching noise like a dialup modem. I'm sending this trash back asap.  ,1,,,,,,
Jill,3.0 out of 5 stars,"Reviewed in Canada on February 8, 2021",        NOT included: Liquid Plant Food & PH testing strips/kit & seeds  ,"          It's kind of like opening a gift that requires batteries, but the batteries are not included! It should be well advertised that essential items (liquid plant food & PH testing strips) are NOT included in this kit! Better yet, just include them!!!!! I get that the seeds are not included, that is advertised well and I'm happy to pick out my own seeds based on my climate zone and preferences. But who already has ph strips or liquid plant food lying around?I was all excited to get started but now I can't because I need to go and hunt down these items.Furthermore, the items that are included are all packaged separately not very environmentally friendly!  ",1,,,,,,
D,3.0 out of 5 stars,"Reviewed in Canada on February 26, 2021","        Impressed with the unit, not the seed pods.  ","I am finding with this hydroponic growing system the seeds do not root well, as the plugs have an extremely shallow divot. Finding my seeds die within a short period with just a sprout of green and a thin small root barely poked out of the seed (IMO seems the issue is it's not able to get to the water for nourishment in order to thrive)....unlike the Aero garden that has the deep divot tubes which the seed is capable to germinate within a close range to the water level to thrive and develop a strong root system. The unit itself is well made, and has features (like the fan) that the aerogarden does not have. The reason I gave it 3 stars is the shallow seed pods.",1,,,,,,
C Kelm,3.0 out of 5 stars,"Reviewed in Canada on July 14, 2020","        Easy to set up, hard to maintain. Worth it if you put in the effort.  ","I want to start this by saying I really do like this product. Its perfect for growing small to medium sized herbs, its compact, looks nice, and makes growing plants hydroponically relatively easy, making it inviting for new people to try it. I've had this product for a few months and I've been able to fill multiple spice jars of herbs I've harvested. However, there are some issues and constraints with this product. Be prepared to constantly prune as many plants can grow well past the maximum height. The light is also not on a timer, I tested this twice and it simply stays on indefinitely. This is the biggest problem as it means you have to turn it on everyday and therefore theoretically can't leave it on its own for more than a day. I tried to solve this using a WiFi connected smart outlet to set a timer, but it can only control the power to the machine, not just the light specifically. This is also a problem as the water pump MUST run continuously and can't be turned off for hours at a time. The water pump/fan are set to a 30 minute timer on/off and work correctly. Lastly, this is only really realistic for starting seedlings and then transferring them elsewhere. Once things begin to really grow (after 3-4 weeks) the container size is unsuitable for 12 adult plants. I've been able to harvest herbs, but I have yet to see any finish its life cycle. First, because the plants absorb water faster than the dissolved fertilizer, it increases the concentration of fertilizer drastically and somewhat rapidly. Plants have an ideal concentration range for fertilizer and going too high is similar to trying to grow crops in salty soil. The result is you realistically have to add water everyday to avoid high fertilizer concentrations.To summarize, okay product but it has a few flaws, mostly the lack of light timer reduces the usefulness of this product. As a result its pretty high maintenance with the pruning, water requirements, and height constraint.",1,,,,,,
Camila Jerger,3.0 out of 5 stars,"Reviewed in Canada on November 24, 2020",        Not for newbies in hydroponics  ,"          This hydroponics kit has a lower price point compared to competitors, which is the main reason why I bought it. It looks nice although it's a little big bigger than I expected. I was disappointed that the instructions that came with it were confusing and not easy to follow for someone who is new to hydroponics. Lots of steps on how to germinate and take care of the plants are missing from the instructions, and I had to search for information elsewhere. I'd wish they've sent better instructions since I've been having trouble to get my plants going on this hydroponics system and not sure what I am doing wrong.So nice kit, buy it if you have experience growing hydroponics, but if you are a newbie like me, I'd suggest look for another kit.  ",1,,,,,,
Amazon Customer,3.0 out of 5 stars,"Reviewed in Canada on March 18, 2021",        Light Stays on.  ,I've only had the unit for 1 day and the light has stayed on the whole entire time. I don't know if I should unplug it and wait for a little bit to plug it back in. Supposed to stay on for 18hrs then shut off. Hope this is not an issue that is gonna be ongoing.,1,,,,,,
Jacynthe gosselin,3.0 out of 5 stars,"Reviewed in Canada on December 28, 2021",        Pas satisfaite  ,          Capricieuse. Difficile à faire marcher. Une fois bien installé elle marche bien ! On ne trouve pas la mousse de remplacement nul part  ,1,,,,,,
AMAZON fan,3.0 out of 5 stars,"Reviewed in Canada on May 26, 2021",        Does not include plant food  ,          Does not include plant food. Good looking unit.  ,1,,,,,,
Joel Hilchey,3.0 out of 5 stars,"Reviewed in Canada on September 26, 2021",        Waiting for seeds.  ,"          Seems fine, but ddn't know what else I needed to get started from original info... Easy assembly. Waiting for seeds to arrive.  ",1,,,,,,
Bunny,3.0 out of 5 stars,"Reviewed in Canada on November 9, 2020",        Seems ok  ,          Seems to be working well will try preseeded pods to see if they work better.  ,1,,,,,,
Leiland MacDonald,3.0 out of 5 stars,"Reviewed in Canada on May 23, 2021",        Solid Item  ,"          The instructions could have been clearer, but the item seem to work pretty well.  ",1,,,,,,
Dedip,4.0 out of 5 stars,"Reviewed in Canada on February 24, 2021",        Bon produit mais avec des bémols  ,"J'ai acheté un jardin de 12 plantes et tout a été livré rapidement. Le produit est très bien emballé. Il comprend, outre les paniers et les éponges de mousses de sphaigne, il vient avec une pince pour les semences, un perce-éponge, un bouchon d'évacuation de réserve et une mesure pour les nutriments. Il y a aussi des marqueurs pour identifier les plantes qui sont trop gros et tiennent mal dans les trous. Il manquait 1 panier. J'avais acheté aussi quelques plants Aerogarden, qui sont compatibles et qui comprennent une petite bouteille de nutriments, donc ça me convenait.Le ventilateur et la pompe ne sont pas bruyants. Le premier soir, j'ai déconnecté l'appareil, pour le repartir à 4 heures du matin, afin de lui permettre de faire son cycle de 18 heures et voir s'il s'éteignait bien. Après seulement 3 jours, le basilic et la coriandre pointaient hors du sol. Le plan de tomates cerises a atteint 6 pouces (15 cm) en 3 semaines. Merveilleux! Les graines que j'ai planté moi-même ont aussi bien poussées, mais il faut s'assurer d'avoir de bonnes semences. Les épinards n'ont pas levés, j'aurais peut-être dû faire tremper les graines 1 heure avant de les planter. Il faut vraiment ne conserver qu'un seul plan par panier, sinon les plantes étouffent.Après 5 jours, la minuterie de l'éclairage ne fonctionnait plus. J'ai contacté la compagnie qui m'a donné un excellent service et qui m'a renvoyé un nouveau jardin par livraison rapide. J'ai dû cependant leur fournir mon adresse et mon numéro de téléphone hors connexion Amazon, afin qu'il puisse ouvrir un bon de commande chez Amazon. Le problème du premier jardin s'est réglé de lui-même. Mais cette fois, c'est le 2e jardin qui a eu le même problème de minuterie et il était plus bruyant. Je l'ai retourné.À mon avis, le cycle de 18 heures est trop long. Si vous dormez plus de 6 heures par nuit, vous ne pouvez pas voir si l'éclairage d'éteint et s'allume normalement. Il faudra donc vous coucher tard et vous réveiller occasionnellement la nuit pour vous assurer que tout fonctionne correctement. Il est également dommage qu'il ne contienne pas les nutriments de départ.J'en ai acheté un de remplacement de marque IDOO à 7 plantes. Eux ajoutent les nutriments pour 4 semaines mais pas la pince et le perce-éponge (ce qui n'est pas essentiel). Il n'y a pas de ventilateur, dont très silencieux. Il contient différents cycles d'éclairage, soit 14/10, 12/12 et 16/8. Là, je vais pouvoir faire des nuits normales. Cette compagnie indique également que les semences ne sont pas incluses en raison des restrictions sur les importations.En bref, ces petits jardins sont merveilleux, mais comme ce sont des compagnies chinoises, la qualité est très variable. Assurez-vous d'en choisir un qui a un cycle de fonctionnement qui ne deviendra pas un incovénient, comme le Moitenland l'est devenu pour moi.",1,,,,,,
Lesley,4.0 out of 5 stars,"Reviewed in Canada on December 3, 2021",        Fresh herbs and lettuce year round  ,"This is our second Moistenland hydroponics unit. We liked the first so much that we bought this one as well: one for herbs and one for lettuces. The first one keeps the lights on for 18 hrs/day, which suits the plants well, and it came with the right pods and baskets. This one is erratic in its timing, and the pods and baskets are the wrong shape for the holes they're supposed to fit. But we can make it work anyway, and we found some replacement pods and baskets that do fit, so all in all we're quite satisfied.",1,,,,,,
Patricia,4.0 out of 5 stars,"Reviewed in Canada on January 26, 2021","        Great peoduct, easy to use and very happy  ","          I did not know what to expect when i bought this to grow leafy greens for salads. I was very pleased with the outcome. It takes some time but they do grow and you will be able to harvest whatevwr you plant to add to your salads. I would reccomend leafy greens that do not grow with thick roots, they will not grow here. I am very please and would buy this product again.  ",1,,,,,,
Caroline Shenouda,4.0 out of 5 stars,"Reviewed in Canada on April 19, 2021",        Good System but missing a lot of accessories  ,"          Bought this unit just over a month ago. Bought the nutrients, seeds, ph down, and ph meter separately. My feedback would be to include these items (except the seeds because I would rather choose those myself) with the product for easier set up and use. I had some issues with green algae growth after adding nutrients and have had to purchase hydrogen peroxide as well. Now that I’ve figured out a good system, things are going better, but I think having a more clear, easy to understand, step by step manual and package with all the required add ons would make this system much easier to use. I’m happy with the growth so far although still waiting for some seeds to germinate (that may be a seed issue though). The device itself has worked exactly as advertised.  ",1,,,,,,
Caroline Shenouda,4.0 out of 5 stars,"Reviewed in Canada on May 12, 2021",        Simple to use  ,          I really like the design it's nice and small and will fit nicely on my kitchen counter it came with so many pieces that it helps you to know exactly what you need to do to be able to grow vegetables comes with a light has all the things that you would need to know how much water is in it very happy  ,1,,,,,,
Tianna Willard,4.0 out of 5 stars,"Reviewed in Canada on May 18, 2021",        Great for growing greens  ,          Amazing for growing herbs and Greens. Bought two! Haven’t had the best of luck with customer service however. But they did respond to any of my concerns. Their customer service person was experiencing health difficulties causing the delay.  ,1,,,,,,
Obis,4.0 out of 5 stars,"Reviewed in Canada on December 28, 2021",        Great value for money  ,This is a great product.  Better than the bigger brands.  Only complaint I have is the pump has already stopped working after only 6 months.  Wish there was option for replacement.,1,,,,,,
Papaikta,4.0 out of 5 stars,"Reviewed in Canada on April 25, 2021",        Seems to be a complete kit for indoor hydroponic grow.  ,"          Quick delivery. I just received it and have not yet tried growing anything in it. Based on other reviews i expect it will work as advertised. Easy to set up. Good directions and tips for using the product to grow plants. Kit seems complete except no nutrients were provided. Looking forward to fresh homegrown herbs, greens amd berries.  ",1,,,,,,
Deborah M,4.0 out of 5 stars,"Reviewed in Canada on November 4, 2021",        Doesn't turn off on its own but still a good little machine  ,The pump works as intended but the lights stay on and have to be manually turned off each day.I've had it for about 3-4 months now and it's a reliable little machine. I enjoy having it despite the auto on/off issue.,1,,,,,,
Michelle W.,4.0 out of 5 stars,"Reviewed in Canada on October 30, 2020","        Fan is not the best, but great customer service.  ",After only six weeks the fan is making a terrible noise. It is not doing well at all.Other than that it has worked as advertised. I expected when I bought this for hat it would last  longer than 6 weeks.When I reached out to the supplier they sent me a new one within a week tht,1,,,,,,
Onlinegraphics,5.0 out of 5 stars,"Reviewed in Canada on August 13, 2020",        Buy this unit ...  ,"          We first tried the VersaGrow system and bailed out on that ... then were going to buy an AeroGarden system but stumbled upon this unit before doing so. This unit is cheaper than AeroGarden and works just fine ... the trick we have found to make it really ""sing"" is to insert some aeration stones in the small tank. These stones are creating so much oxygen in the water tank that our strawberries and blueberries are starting to flourish and the romaine lettuce (AeroGarden pods) are growing very nicely. For AeroGarden pods, we wrapped the part of the pod that did not fit all the way into the unit with masking tape to prevent additional fungal growth in the tank due to light getting through to the nutrient rich water. Our AeroGarden is working as intended without stones or any other helpers ... we are using that as a base test but think we are going to be buying a few more of these units.  ",1,,,,,,
